#,USAState,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,Source,Projections
,USA Total,30365111,"+6,231",552556.0,86.0,22524111.0,7288444.0,91737.0,1669.0,385732183.0,1165345.0,,,
1.0,California,3635598,,56824.0,,1914453.0,1664321.0,92012.0,1438.0,51601716.0,1305968.0,39512223.0,[view by county] [1],[projections]
2.0,Texas,2749440,,47257.0,,2590824.0,111359.0,94822.0,1630.0,24507017.0,845190.0,28995881.0,[view by county] [1] [2] [3],[projections]
3.0,Florida,1994117,,32613.0,,1329665.0,631839.0,92846.0,1518.0,24357867.0,1134098.0,21477737.0,[view by county] [1] [2] [3],[projections]
4.0,New York,1811288,,49539.0,,932935.0,828814.0,93108.0,2547.0,42015555.0,2159787.0,19453561.0,[view by county] [1] [2] [3],[projections]
5.0,Illinois,1216090,,23287.0,,1135756.0,57047.0,95968.0,1838.0,19389098.0,1530096.0,12671821.0,[1] [2] [3] [4] [5],[projections]
6.0,Georgia,1040817,,18420.0,,596487.0,425910.0,98029.0,1735.0,8058303.0,758970.0,10617423.0,[1] [2],[projections]
7.0,Ohio,995785,,17992.0,,946602.0,31191.0,85189.0,1539.0,10591209.0,906076.0,11689100.0,[view by county] [1] [2] [3],[projections]
8.0,Pennsylvania,985066,"+2,944",24886.0,32.0,898699.0,61481.0,76946.0,1944.0,11158837.0,871649.0,12801989.0,[view by county] [1],[projections]
9.0,North Carolina,891314,,11783.0,,852732.0,26799.0,84983.0,1123.0,10900126.0,1039287.0,10488084.0,[1] [2] [3] [4],[projections]
10.0,New Jersey,853349,,24076.0,,627532.0,201741.0,96074.0,2711.0,11474078.0,1291807.0,8882190.0,[view by county] [1],[projections]
11.0,Arizona,834607,,16645.0,,785612.0,32350.0,114664.0,2287.0,4401682.0,604733.0,7278717.0,[1],[projections]
12.0,Tennessee,796624,,11681.0,,772665.0,12278.0,116650.0,1710.0,7034682.0,1030093.0,6829174.0,[1] [2] [3],[projections]
13.0,Michigan,683398,,16843.0,,556697.0,109858.0,68430.0,1687.0,11570859.0,1158609.0,9986857.0,[1] [2] [3] [4],[projections]
14.0,Indiana,675388,,12907.0,,520198.0,142283.0,100322.0,1917.0,8556561.0,1270987.0,6732219.0,[1] [2],[projections]
15.0,Massachusetts,608318,,16759.0,,565929.0,25630.0,88258.0,2431.0,17714455.0,2570105.0,6892503.0,[1],[projections]
16.0,Virginia,600550,,10182.0,,49395.0,540973.0,70359.0,1193.0,8043259.0,942328.0,8535519.0,[1] [2],[projections]
17.0,Wisconsin,571220,,6556.0,,558115.0,6549.0,98107.0,1126.0,3249111.0,558033.0,5822434.0,[1] [2] [3] [4] [5] [6],[projections]
18.0,Missouri,568926,,8914.0,,386465.0,173547.0,92698.0,1452.0,5866988.0,955936.0,6137428.0,[1] [2] [3] [4] [5] [6] [7],[projections]
19.0,South Carolina,537498,,8938.0,,,,104395.0,1736.0,6433793.0,1249592.0,5148714.0,[1] [2] [3],[projections]
20.0,Alabama,510048,,10391.0,,310742.0,188915.0,104024.0,2119.0,2492531.0,508349.0,4903185.0,[1],[projections]
21.0,Minnesota,501458,,6830.0,,485358.0,9270.0,88917.0,1211.0,7847879.0,1391559.0,5639632.0,[1] [2],[projections]
22.0,Colorado,446580,,6142.0,,299195.0,141243.0,77548.0,1067.0,2662341.0,462313.0,5758736.0,[1],[projections]
23.0,Louisiana,439543,,9974.0,,426243.0,3326.0,94550.0,2146.0,6311156.0,1357590.0,4648794.0,[view by county] [1],[projections]
24.0,Oklahoma,434075,,4788.0,,417734.0,11553.0,109699.0,1210.0,3671576.0,927875.0,3956971.0,[1] [2] [3],[projections]
25.0,Kentucky,419149,,5504.0,,48964.0,364681.0,93818.0,1232.0,4739044.0,1060741.0,4467673.0,[1] [2] [3],[projections]
26.0,Maryland,397898,"+1,152",8132.0,19.0,9797.0,379969.0,65815.0,1345.0,8433019.0,1394883.0,6045680.0,[1],[projections]
27.0,Utah,380340,,2041.0,,367018.0,11281.0,118635.0,637.0,4066552.0,1268436.0,3205958.0,[1] [2] [3],[projections]
28.0,Iowa,372868,+428,5672.0,,326506.0,40690.0,118181.0,1798.0,4303965.0,1364142.0,3155070.0,[1] [2],[projections]
29.0,Washington,356063,,5230.0,,176006.0,174827.0,46759.0,687.0,5630802.0,739446.0,7614893.0,[view by county] [1],[projections]
30.0,Arkansas,328045,,5515.0,,319771.0,2759.0,108703.0,1827.0,3299489.0,1093341.0,3017804.0,[1] [2] [3] [4] [5],[projections]
31.0,Mississippi,301924,,6938.0,,287341.0,7645.0,101448.0,2331.0,2560505.0,860342.0,2976149.0,[1] [2] [3],[projections]
32.0,Kansas,301763,,4850.0,,282625.0,14288.0,103581.0,1665.0,1293893.0,444131.0,2913314.0,[1] [2] [3] [4] [5] [6] [7] [8] [9] [10],[projections]
33.0,Nevada,300415,,5157.0,,269236.0,26022.0,97532.0,1674.0,2863567.0,929682.0,3080156.0,[1] [2],[projections]
34.0,Connecticut,295484,,7822.0,,259572.0,28090.0,82878.0,2194.0,7274861.0,2040470.0,3565287.0,[1] [2],[projections]
35.0,Nebraska,205539,,2130.0,,158999.0,44410.0,106254.0,1101.0,986473.0,509961.0,1934408.0,[1] [2],[projections]
36.0,New Mexico,189158,,3877.0,,169889.0,15392.0,90211.0,1849.0,2885907.0,1376320.0,2096829.0,[1] [2],[projections]
37.0,Idaho,176802,,1938.0,,98510.0,76354.0,98934.0,1084.0,1148603.0,642732.0,1787065.0,[1] [2] [3],[projections]
38.0,Oregon,160622,,2353.0,,141121.0,17148.0,38083.0,558.0,4021248.0,953414.0,4217737.0,[1] [2] [3],[projections]
39.0,West Virginia,137092,+376,2600.0,30.0,129143.0,5349.0,76496.0,1451.0,2341373.0,1306463.0,1792147.0,[1],[projections]
40.0,Rhode Island,132616,,2594.0,,8124.0,121898.0,125185.0,2449.0,3301005.0,3116034.0,1059361.0,[1] [2],[projections]
41.0,South Dakota,115203,,1919.0,,111120.0,2164.0,130223.0,2169.0,435353.0,492114.0,884659.0,[1],[projections]
42.0,Montana,102616,,1406.0,,100217.0,993.0,96012.0,1316.0,1151030.0,1076959.0,1068778.0,[1] [2] [3] [4],[projections]
43.0,North Dakota,101403,,1459.0,,99171.0,773.0,133064.0,1915.0,410293.0,538398.0,762062.0,[1] [2],[projections]
44.0,Delaware,91425,,1517.0,,83108.0,6800.0,93888.0,1558.0,647072.0,664506.0,973764.0,[1] [2],[projections]
45.0,New Hampshire,79702,,1207.0,,76155.0,2340.0,58617.0,888.0,1794066.0,1319447.0,1359711.0,[1] [2],[projections]
46.0,Alaska,58580,,306.0,,50446.0,7828.0,80077.0,418.0,1820986.0,2489233.0,731545.0,[1] [2],[projections]
47.0,Wyoming,55479,,693.0,,54378.0,408.0,95859.0,1197.0,668703.0,1155408.0,578759.0,[1] [2],[projections]
48.0,Maine,48070,+238,728.0,1.0,12909.0,34433.0,35761.0,542.0,1996240.0,1485063.0,1344212.0,[1] [2],[projections]
49.0,District Of Columbia,42892,,1046.0,,30631.0,11215.0,60775.0,1482.0,1314784.0,1862963.0,705749.0,[1],[projections]
50.0,Hawaii,28509,,451.0,,,,20135.0,319.0,1199823.0,847409.0,1415872.0,[1] [2] [3] [4] [5],[projections]
51.0,Vermont,17247,,217.0,,14507.0,2523.0,27640.0,348.0,1214526.0,1946390.0,623989.0,[1],[projections]
52.0,Puerto Rico,194704,"+1,093",2089.0,4.0,93486.0,99129.0,57487.0,617.0,464073.0,137018.0,3386941.0,[1] [2] [3] [4] [5],
53.0,Guam,7780,,134.0,,7618.0,28.0,,,136135.0,,,[1] [2],
54.0,United States Virgin Islands,2804,,25.0,,,,,,50108.0,,,[1] [2],
55.0,Northern Mariana Islands,157,,2.0,,,,,,26131.0,,,[1] [2] [3],
56.0,American Samoa,3,,,,3.0,0.0,,,,,,[1] [2],
57.0,US Military,259116,,317.0,,231725.0,27074.0,,,,,,[1] [2] [3],
58.0,Veteran Affairs,237840,,10995.0,,222921.0,3924.0,,,2983836.0,,,[1] [2],
59.0,Federal Prisons,54548,,230.0,,52401.0,1917.0,,,107518.0,,,[1],
60.0,Navajo Nation,29987,,1228.0,,16289.0,12470.0,,,250472.0,,,[1] [2] [3],
61.0,Grand Princess Ship,122,,7.0,,115.0,0.0,,,,,,[1],
62.0,Wuhan Repatriated,3,,,,3.0,0.0,,,3.0,,,,
63.0,Diamond Princess Ship,46,,,,46.0,0.0,,,46.0,,,,
,Total:,30365111,"+6,231",552556.0,86.0,22524111.0,7288444.0,91737.0,1669.0,385732183.0,1165345.0,,,
